;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
5467;femenino;industria;fabrica de ;popular;2;1.0;17/05/2018;4000000;microempresarial
5468;masculino;comercio;tienda;campo valdes no. 1;2;4.0;12/02/2018;7800000;microempresarial
5469;femenino;industria;fabrica de ;cabecera san antonio ;3;80.0;13/06/2019;6750000;microempresarial
5470;masculino;servicio;MANTENIMIENTO EN ;manrique central no. 2;3;3.0;2016/02/24;6443500;microempresarial
5471;masculino;servicio;mantenimiento en ;santa elena central;2;90.0;1/02/2017;7300000;microempresarial
5472;femenino;comercio;variedades;aranjuez;2;4.0;2019/02/6;7500000;microempresarial
5473;femenino;servicio;peluqueria;picacho;1;6.0;6/12/2017;5000000;MICROEMPRESARIAL
5474;femenino;COMERCIO;variedades;robledo;03;7.0;27/04/2016;6000000;microempresarial
5475;masculino;comercio;VARIEDADES;;2;7.0;16/02/2017;4000000;microempresarial
5476;femenino;industria;fabrica de ;la avanzada;1;1.0;7/06/2018;7800000;microempresarial
5477;FEMENINO;comercio;almacen de ropa en ;robledo;2;7.0;5/07/2017;3000000;microempresarial
5478;masculino;comercio;carniceria;buenos aires;02;9.0;11/07/2018;2000000;microempresarial
5479;femenino;comercio;granero;el corazon;2;13.0;10/04/2019;8281000;microempresarial
5480;femenino;agropecuaria;floristeria;cabecera san cristobal;2;60.0;21/11/2018;6000000;agropecuaria
5481;femenino;industria;fabrica de ;manrique central no. 1;3;4.0;17/08/2018;3000000;microempresarial
5482;masculino;comercio;taller de mecanica;aranjuez;3;4.0;28/03/2017;7000000;microempresarial
5483;masculino;comercio;variedades;;3;4.0;17/03/2017;6000000;microempresarial
5484;femenino;comercio;productos de belleza;la america;3;12.0;2018/08/2;7000000;microempresarial
5485;femenino;comercio;taller de mecanica;picacho;1;6.0;29/03/2017;6000000;microempresarial
5486;femenino;industria;fabrica de ;popular;2;1.0;6/02/2018;3000000;microempresarial
5487;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial
5488;femenino;comercio;restaurante;manrique central no. 1;2;4.0;27/09/2018;6000000;microempresarial
5489;MASCULINO;servicio;publicidad y ;castilla;3;5.0;7/02/2019;4000000;microempresarial
5490;masculino;industria;fabrica de ;florencia;3;5.0;2017/04/7;7300000;microempresarial
5491;femenino;servicio;RESTAURANTE;san javier no.1;2;13.0;18/08/2017;6000000;microempresarial
5492;femenino;servicio;fabrica de ;la floresta;3;12.0;15/02/2016;4000000;MICROEMPRESARIAL
5493;MASCULINO;Comercio;tienda;alfonso lopez;3;5.0;13/05/2019;8000000;microempresarial
5494;masculino;industria;variedades;pedregal;3;6.0;11/12/2017;23430000;empresarial ed. 
5495;masculino;servicio;cafeteria;santa elena central;2;90.0;16/05/2016;6000000;microempresarial
5496;femenino;industria;fabrica de ;buenos aires;3;9.0;2018/05/9;6000000;Microempresarial
5497;femenino;servicio;restaurante;cabecera san antonio ;1;80.0;6/10/2017;6000000;microempresarial
5498;femenino;comercio;variedades;el salvador;3;9.0;13/03/2018;7800000;microempresarial
5499;femenino;servicio;variedades;aranjuez;2;4.0;2017/08/18;7300000;microempresarial
5500;femenino;comercio;variedades;;1;9.0;25/04/2016;3000000;Microempresarial
5501;femenino;industria;fabrica de ;san antonio;3;8.0;16/06/2017;7000000;MICROEMPRESARIAL
5502;femenino;COMERCIO;variedades;moravia;1;4.0;2018/06/27;2000000;microempresarial
5503;masculino;comercio;restaurante;centro admtivo;3;10.0;11/05/2017;7300000;microempresarial
5504;masculino;comercio;granero;campo valdes no. 1;3;4.0;21/02/2018;5000000;microempresarial
5505;femenino;comercio;TIENDA;san javier no.2;2;13.0;21/02/2019;8200000;microempresarial
5506;masculino;industria;ferreteria;manrique central no. 1;2;4.0;4/04/2017;4500000;microempresarial
5507;masculino;comercio;alquiler de peliculas;villa del socorro;2;2.0;24/04/2019;8281000;microempresarial
5508;femenino;servicio;Servicios ;cabecera san cristobal;2;60.0;14/12/2018;17000000;empresarial ed. 
5509;femenino;industria;fabrica de velas;aranjuez;3;4.0;20/05/2016;1500000;microempresarial
